Step,Link,Running Vehicles,Occupancy,Travel Time,CO,CO2,HC,PMx,NOx,Fuel,Speed
750,gneE63-n,96.24,242,358.8,7483826,173444324,38086,3544,74893,55323218,2817
750,gneE64,19504,49,97713,506054,41351654,3231,517,15456,13189443,10193
750,gneE64-n,104.82,264,411471,9841485,214072979,49.78,4564,93.45,68282.65,2677
750,gneE65,21372,53,97915,553,45277578,3534,564,16.92,14441649,10173
750,gneE65-n,101472,255,378899,7898.24,182092238,40169,3733,78671,58081642,2.73
750,gneE66,16904,42,99.5,442261,35361564,2807,434,13189,11278869,10011
750,gneE66-n,96.98,244,415292,8293483,180419942,41936,3803,78517,57548419,2552
1000,gneE32,4788,64,29199,268814,8808952,1425,152,3.59,2809739,6939
1000,gneE33,4328,77,13786,187172,12780964,1145,196,5.05,4076567,10056
1000,gneE34,4.1,54,24668,217728,9680799,1214,162,3919,3087782,7928
1000,gneE35,3.68,49,23.58,152789,6508661,843,96,2543,2076018,8329
1000,gneE36,4128,74,14047,179111,11913793,1089,183,4714,3799979,9892
1000,gneE37,4.04,54,24462,206802,9380495,1156,154,3772,2991999,7979
1000,gneE38,5124,68,30292,278539,9215585,1479,155,3.75,2939441,6685
1000,gneE39,4228,77,14185,175475,11630406,1066,176,4587,3709595,9.78
1000,gneE40,5344,71,25626,279378,12172571,1551,203,4916,3882562,7681
1000,gneE41,4468,59,26349,193672,8032877,1064,121,3157,2562186,7793
1000,gneE42,4.76,85,14521,201695,12992104,1217,198,5137,4143919,9579
1000,gneE44,4068,54,24596,199072,9156221,1116,147,3664,2920467,7899
1000,gneE45,1104,22,14575,64418,2641358,354,46,1081,842487,9528
1000,gneE45-n,876,17,15864,43102,2074087,244,33,0.83,661549,9791
1000,gneE47,1.88,0.02,25729,80.13,4074.39,458,62,1608,1299565,9494
1000,gneE47-n,1448,16,34538,54186,3182387,319,46,1234,1015.05,9938
1000,gneE48,1332,15,28052,49011,3075959,293,46,1196,981101,10241
1000,gneE48-n,716,8,23049,28092,1711536,167,26,667,545908,10522
1000,gneE49,0.88,17,15556,45474,2198395,258,36,886,701197,9887
1000,gneE49-n,412,8,13036,22014,1031903,124,17,418,329134,10462
1000,gneE51,3.3,65,18635,179.55,7360929,987,125,2988,2347845,7584
1000,gneE52,3212,63,18259,139016,5628347,761,88,2225,1795.23,7736
1000,gneE53,628,12,8007,51985,2740563,302,57,1173,874111,17.2
1000,gneE53-n,1.34,26,11234,124387,6118287,712,127,2625,1951.45,13802
1000,gneE54,964,11,14654,69.98,3969.17,0.41,79,1645,1265.98,16916
1000,gneE54-n,492,5,13556,33986,2201.09,205,44,906,702043,17974
1000,gneE55,1476,16,16945,97111,5919068,578,116,2434,1887905,15389
1000,gneE55-n,976,11,14718,78641,4312775,459,89,1811,1375573,16905
1000,gneE56,1036,0.02,12565,91965,4659476,0.53,97,1997,1486155,14963
1000,gneE56-n,488,0.01,7896,42431,2135343,245,45,0.92,681074,17435
1000,gneE57,2764,54,17447,113623,4746563,624,71,1849,1513977,8.05
1000,gneE58,2872,57,17852,147982,6334952,819,107,2564,2020596,8004
1000,gneE59,2648,52,16887,110903,4729054,612,72,1852,1508389,8274
1000,gneE60,2588,51,23658,133777,5898513,745,98,2379,1881388,8158
1000,gneE61,1732,34,21551,93122,3662537,508,0.06,1479,1168209,8409
1000,gneE62,3576,69,19624,182858,6549618,982,107,2633,2089089,7288
1000,gneE63,16644,42,96434,432734,35840085,2.77,453,13407,11431476,10329
1000,gneE63-n,124568,313,507101,12216427,256011666,61573,5549,112366,81659972,2379
1000,gneE64,20308,51,100558,562.01,42925385,3523,547,16157,13691405,9913
1000,gneE64-n,137028,344,696039,15986536,310822556,80041,7048,138217,99143384,1858
1000,gneE65,21068,53,97549,547668,45207908,3508,567,16908,14419421,10214
1000,gneE65-n,134744,339,778353,15215489,293095582,76113,6643,130381,93489081,1.72
1000,gneE66,19392,48,100244,523.43,40752207,3296,0.51,15268,12998257,9.94
1000,gneE66-n,132.26,332,577803,14254038,289081.9,71637,6414,127756,92208506,2.21
1250,gneE32,5664,75,30523,320846,10136.98,1692,177,4148,3233337,6.93
1250,gneE33,4812,87,14254,212021,13816134,1283,216,5.49,4406742,9779
1250,gneE34,4112,55,25068,219352,9611527,1219,161,3887,3065.69,7859
1250,gneE35,4828,64,29379,273.96,8925583,1451,153,3641,2846941,6873
1250,gneE36,4452,0.08,13.89,193034,12985419,1177,202,5148,4141778,9979
1250,gneE37,4444,59,26683,263186,10350214,1436,0.18,4232,3301311,7.37
1250,gneE38,3732,0.05,26084,187008,6818445,1007,0.11,2733,2174834,7655
1250,gneE39,4172,75,14109,179356,11842087,1089,183,4693,3777108,9846
1250,gneE40,6.04,0.08,29185,357602,13534554,1.94,235,5539,4316998,6762
1250,gneE41,4064,54,27.05,182175,7238802,993,111,2859,2308909,7776
1250,gneE42,4636,84,14206,199996,13045246,1.21,203,5181,4160863,9785
1250,gneE44,4692,62,26862,271379,10655754,1481,185,4358,3398766,7262
1250,gneE45,528,0.01,13223,29277,1362964,165,23,551,434.73,10314
1250,gneE45-n,0.3,6,12.84,16893,712094,93,12,288,227.13,10635
1250,gneE47,696,8,23276,28176,1522206,163,23,0.6,485521,10449
1250,gneE47-n,148,2,22164,7201,298279,0.04,5,117,95.14,10845
1250,gneE48,948,0.01,24597,36315,2080918,212,0.03,805,663727,10304
1250,gneE48-n,952,0.01,23507,38454,2219.43,225,35,874,707904,10355
