Step,Link,Running Vehicles,Occupancy,Travel Time,CO,CO2,HC,PMx,NOx,Fuel,Speed
750,gneE37,4.04,0.054,25.535,214.326,9307.535,1.189,0.154,3.757,2968.731,7.717
750,gneE38,5.108,0.068,29.524,281.666,9213.282,1.493,0.158,3.761,2938.706,6.76
750,gneE39,3.728,0.067,13.887,158.434,10743.824,0.968,0.164,4.241,3426.81,9.993
750,gneE40,5.692,0.076,26.126,298.209,12718.166,1.649,0.21,5.129,4056.59,7.497
750,gneE41,4.444,0.059,26.534,208.109,8130.065,1.132,0.127,3.227,2593.188,7.548
750,gneE42,4.068,0.073,14.172,173.433,11455.853,1.053,0.176,4.533,3653.918,9.796
750,gneE44,3.812,0.051,23.682,186.133,8864.456,1.051,0.144,3.552,2827.4,8.268
750,gneE45,0.956,0.019,14.283,52.572,2293.472,0.292,0.039,0.933,731.525,9.638
750,gneE45-n,0.7,0.013,18.433,36.162,1795.455,0.206,0.03,0.724,572.675,10.119
750,gneE47,1.6,0.017,25.895,67.5,3435.328,0.385,0.051,1.348,1095.732,9.524
750,gneE47-n,1.236,0.014,25.552,52.124,2768.489,0.3,0.042,1.086,883.035,9.839
750,gneE48,0.708,0.008,23.594,25.578,1508.206,0.151,0.021,0.58,481.056,10.331
750,gneE48-n,1.016,0.011,23.962,39.255,2312.869,0.231,0.034,0.901,737.709,10.213
750,gneE49,0.336,0.007,12.777,17.664,830.432,0.1,0.014,0.337,264.873,10.594
750,gneE49-n,0.62,0.012,13.372,33.959,1634.124,0.192,0.028,0.664,521.217,10.223
750,gneE51,2.644,0.052,17.859,135.539,5744.247,0.749,0.095,2.313,1832.188,7.944
750,gneE52,2.64,0.052,17.542,105.461,4602.088,0.584,0.068,1.796,1467.891,8.137
750,gneE53,0.62,0.012,8.36,55.318,2745.563,0.317,0.057,1.175,875.707,16.624
750,gneE53-n,1.58,0.031,11.983,138.305,7046.52,0.798,0.147,3.022,2247.51,12.706
750,gneE54,0.932,0.01,14.914,65.961,4027.622,0.392,0.079,1.661,1284.622,16.711
750,gneE54-n,0.784,0.009,15.726,59.771,3398.193,0.35,0.068,1.41,1083.864,16.759
750,gneE55,1.132,0.012,16.56,79.114,4647.563,0.468,0.091,1.918,1482.356,15.767
750,gneE55-n,0.552,0.006,13.749,40.377,2568.405,0.243,0.05,1.06,819.199,17.725
750,gneE56,0.724,0.014,8.818,62.291,3225.759,0.36,0.067,1.381,1028.865,16.18
750,gneE56-n,0.544,0.011,7.977,47.159,2524.871,0.275,0.052,1.076,805.315,17.299
750,gneE57,2.524,0.05,18.106,119.966,4548.017,0.649,0.072,1.804,1450.65,8.013
750,gneE58,2.412,0.047,17.212,126.624,5455.255,0.702,0.092,2.21,1740.007,8.245
750,gneE59,2.08,0.041,16.145,79.005,3667.297,0.442,0.053,1.413,1169.728,8.72
750,gneE60,2.24,0.044,17.317,123.806,5056.053,0.68,0.087,2.059,1612.68,8.237
750,gneE61,1.04,0.02,15.34,51.695,2412.779,0.291,0.04,0.968,769.578,9.691
750,gneE62,2.56,0.05,21.227,121.475,4531.982,0.656,0.072,1.807,1445.535,7.937
750,gneE63,20.328,0.051,97.527,521.087,43116.878,3.339,0.535,16.087,13752.476,10.212
750,gneE63-n,96.24,0.242,358.8,7483.826,173444.324,38.086,3.544,74.893,55323.218,2.817
750,gneE64,19.504,0.049,97.713,506.054,41351.654,3.231,0.517,15.456,13189.443,10.193
750,gneE64-n,104.82,0.264,411.471,9841.485,214072.979,49.78,4.564,93.45,68282.65,2.677
750,gneE65,21.372,0.053,97.915,553,45277.578,3.534,0.564,16.92,14441.649,10.173
750,gneE65-n,101.472,0.255,378.899,7898.24,182092.238,40.169,3.733,78.671,58081.642,2.73
750,gneE66,16.904,0.042,99.5,442.261,35361.564,2.807,0.434,13.189,11278.869,10.011
750,gneE66-n,96.98,0.244,415.292,8293.483,180419.942,41.936,3.803,78.517,57548.419,2.552
1000,gneE32,4.788,0.064,29.199,268.814,8808.952,1.425,0.152,3.59,2809.739,6.939
1000,gneE33,4.328,0.077,13.786,187.172,12780.964,1.145,0.196,5.05,4076.567,10.056
1000,gneE34,4.1,0.054,24.668,217.728,9680.799,1.214,0.162,3.919,3087.782,7.928
1000,gneE35,3.68,0.049,23.58,152.789,6508.661,0.843,0.096,2.543,2076.018,8.329
1000,gneE36,4.128,0.074,14.047,179.111,11913.793,1.089,0.183,4.714,3799.979,9.892
1000,gneE37,4.04,0.054,24.462,206.802,9380.495,1.156,0.154,3.772,2991.999,7.979
1000,gneE38,5.124,0.068,30.292,278.539,9215.585,1.479,0.155,3.75,2939.441,6.685
1000,gneE39,4.228,0.077,14.185,175.475,11630.406,1.066,0.176,4.587,3709.595,9.78
1000,gneE40,5.344,0.071,25.626,279.378,12172.571,1.551,0.203,4.916,3882.562,7.681
1000,gneE41,4.468,0.059,26.349,193.672,8032.877,1.064,0.121,3.157,2562.186,7.793
1000,gneE42,4.76,0.085,14.521,201.695,12992.104,1.217,0.198,5.137,4143.919,9.579
1000,gneE44,4.068,0.054,24.596,199.072,9156.221,1.116,0.147,3.664,2920.467,7.899
1000,gneE45,1.104,0.022,14.575,64.418,2641.358,0.354,0.046,1.081,842.487,9.528
1000,gneE45-n,0.876,0.017,15.864,43.102,2074.087,0.244,0.033,0.83,661.549,9.791
1000,gneE47,1.88,0.02,25.729,80.13,4074.39,0.458,0.062,1.608,1299.565,9.494
1000,gneE47-n,1.448,0.016,34.538,54.186,3182.387,0.319,0.046,1.234,1015.05,9.938
1000,gneE48,1.332,0.015,28.052,49.011,3075.959,0.293,0.046,1.196,981.101,10.241
1000,gneE48-n,0.716,0.008,23.049,28.092,1711.536,0.167,0.026,0.667,545.908,10.522
1000,gneE49,0.88,0.017,15.556,45.474,2198.395,0.258,0.036,0.886,701.197,9.887
1000,gneE49-n,0.412,0.008,13.036,22.014,1031.903,0.124,0.017,0.418,329.134,10.462
1000,gneE51,3.3,0.065,18.635,179.55,7360.929,0.987,0.125,2.988,2347.845,7.584
